"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Matt Beaty","Dodgers",".265","9","6.3 %","12.3 %",".317","19.0 %","48.1 %","32.9 %","102","93.7 %","83.6 %","39.4 %","4.2 %","15.2 %","8.9 %","13.1 %","-1.32","-0.60","-1.01","1.58","4.71","31.9 %","62.2 %","46.3 %","66.3 %","93.1 %","83.4 %","45.4 %","34.7 %","19.9 %","17710"
"Jedd Gyorko","- - -",".251","79","8.7 %","21.8 %",".318","20.1 %","40.9 %","39.0 %","103","85.4 %","76.1 %","33.5 %","5.6 %","20.4 %","10.2 %","9.1 %","0.40","1.07","-1.15","-0.61","0.54","29.2 %","69.0 %","48.0 %","54.0 %","86.5 %","76.0 %","43.2 %","33.4 %","23.3 %","10816"
"Troy Tulowitzki","- - -",".263","49","7.4 %","19.2 %",".322","19.3 %","43.2 %","37.6 %","98","86.4 %","80.7 %","38.0 %","5.1 %","17.7 %","8.3 %","8.0 %","-0.48","0.92","-0.35","-0.23","0.81","29.6 %","61.8 %","45.0 %","69.0 %","86.8 %","80.7 %","45.8 %","31.4 %","22.8 %","3531"
"Tyler O'Neill","Cardinals",".258","14","5.8 %","37.5 %",".307","22.7 %","33.7 %","43.6 %","103","70.0 %","58.6 %","34.4 %","6.1 %","25.2 %","9.1 %","8.0 %","-0.63","3.24","-2.76","-2.44","3.96","33.6 %","71.3 %","51.8 %","36.3 %","69.9 %","58.6 %","44.8 %","33.7 %","21.5 %","15711"
"Michael Chavis","Red Sox",".254","18","8.1 %","33.2 %",".322","19.5 %","45.0 %","35.5 %","96","75.5 %","63.9 %","41.7 %","9.0 %","19.9 %","5.7 %","7.3 %","-0.87","3.50","1.47","-1.30","-1.97","34.8 %","70.7 %","51.7 %","42.1 %","76.2 %","64.1 %","37.3 %","39.1 %","23.6 %","17321"
"Steven Souza Jr.","- - -",".235","68","10.6 %","31.2 %",".324","22.4 %","42.6 %","35.1 %","104","78.6 %","70.1 %","36.9 %","4.9 %","16.7 %","7.7 %","9.1 %","-0.53","0.42","1.09","0.21","0.83","27.2 %","66.8 %","45.8 %","50.1 %","79.2 %","70.1 %","44.8 %","33.0 %","22.2 %","5667"
"Didi Gregorius","Yankees",".269","97","5.3 %","13.5 %",".313","19.9 %","39.6 %","40.5 %","101","89.1 %","81.0 %","37.0 %","4.9 %","12.8 %","8.3 %","11.7 %","-0.69","1.00","1.79","1.33","0.73","36.9 %","74.5 %","54.3 %","66.8 %","89.1 %","81.0 %","39.6 %","35.8 %","24.7 %","6012"
"Evan Longoria","- - -",".262","113","6.7 %","19.6 %",".314","20.4 %","39.3 %","40.3 %","104","85.1 %","78.4 %","33.9 %","5.8 %","18.0 %","8.4 %","10.1 %","0.46","-0.97","-0.37","-0.83","-1.02","32.8 %","65.5 %","48.3 %","64.6 %","86.0 %","78.4 %","41.9 %","33.8 %","24.2 %","9368"
"Devon Travis","Blue Jays",".274","35","4.9 %","18.6 %",".314","21.4 %","46.7 %","31.9 %","102","90.4 %","82.7 %","38.1 %","5.5 %","18.4 %","7.8 %","7.4 %","0.11","0.76","-0.47","-0.53","0.99","32.0 %","63.3 %","47.9 %","65.6 %","91.2 %","82.8 %","34.6 %","32.9 %","32.6 %","13862"
"Tyler Flowers","- - -",".250","48","8.8 %","27.6 %",".339","20.3 %","43.7 %","36.0 %","99","82.6 %","73.1 %","36.7 %","5.0 %","19.3 %","8.1 %","7.5 %","0.47","-0.26","-0.43","-1.11","-0.18","27.8 %","68.1 %","47.0 %","51.8 %","82.7 %","73.2 %","41.3 %","32.6 %","26.1 %","9134"
"Adam Jones","- - -",".272","113","4.8 %","17.3 %",".313","19.0 %","43.9 %","37.1 %","100","87.4 %","76.6 %","34.3 %","6.4 %","18.3 %","8.2 %","10.5 %","-0.33","-1.07","0.27","0.30","-0.24","43.3 %","76.1 %","57.7 %","61.3 %","87.4 %","76.4 %","41.8 %","33.6 %","24.6 %","6368"
"Clint Frazier","Yankees",".254","16","6.5 %","29.4 %",".308","19.6 %","39.5 %","41.0 %","100","84.7 %","71.5 %","37.3 %","4.6 %","24.2 %","7.2 %","7.7 %","1.31","1.41","-0.27","-0.88","-3.31","23.3 %","67.1 %","45.5 %","33.0 %","84.3 %","71.3 %","39.9 %","34.3 %","25.8 %","15983"
"Ian Kinsler","- - -",".262","84","7.3 %","14.3 %",".323","22.4 %","34.4 %","43.2 %","101","92.7 %","86.7 %","38.0 %","5.5 %","17.2 %","6.4 %","8.3 %","-0.39","-0.87","-0.45","1.78","0.51","28.0 %","64.4 %","45.7 %","73.7 %","92.6 %","86.6 %","42.9 %","34.2 %","23.0 %","6195"
"Ramiro Pena","Giants",".299","1","2.2 %","17.6 %",".330","15.5 %","43.7 %","40.8 %","101","94.4 %","80.8 %","36.8 %","4.1 %","10.9 %","10.6 %","11.8 %","-1.31","2.84","2.94","2.84","-0.89","42.4 %","65.4 %","53.6 %","65.7 %","91.2 %","80.8 %","40.9 %","38.0 %","21.1 %","8841"
"Victor Robles","Nationals",".258","20","5.5 %","22.3 %",".327","22.7 %","39.4 %","37.9 %","95","86.9 %","78.2 %","33.8 %","5.8 %","22.8 %","9.6 %","8.4 %","-0.62","2.73","-0.79","2.31","-1.70","30.5 %","67.2 %","48.6 %","60.6 %","86.5 %","78.3 %","44.8 %","32.2 %","22.9 %","18363"
"Nori Aoki","- - -",".282","14","7.5 %","9.2 %",".346","17.9 %","59.8 %","22.3 %","105","93.7 %","89.3 %","35.4 %","4.8 %","10.2 %","9.2 %","11.0 %","0.16","-0.77","1.49","0.67","-0.78","26.3 %","63.6 %","46.1 %","76.2 %","94.1 %","89.3 %","30.8 %","38.5 %","30.7 %","13075"
"Brett Nicholas","Rangers",".252","4","5.5 %","20.0 %",".300","24.7 %","37.0 %","38.3 %","92","82.1 %","74.5 %","36.2 %","3.2 %","16.4 %","6.1 %","10.1 %","1.34","-4.47","-4.38","-1.80","-7.46","40.6 %","64.6 %","52.1 %","60.0 %","83.8 %","74.1 %","32.1 %","32.1 %","35.8 %","11192"
"Austin Hays","Orioles",".266","5","6.5 %","21.0 %",".312","19.2 %","47.5 %","33.3 %","98","81.3 %","70.5 %","30.5 %","6.4 %","25.1 %","11.5 %","10.7 %","1.94","-2.24","-3.30","3.08","-2.82","35.8 %","66.1 %","49.3 %","49.0 %","84.2 %","70.1 %","41.0 %","35.0 %","24.0 %","19363"
"Daniel Vogelbach","Mariners",".205","34","15.5 %","27.0 %",".332","22.7 %","35.2 %","42.1 %","104","82.8 %","75.3 %","34.6 %","5.7 %","15.0 %","11.8 %","13.6 %","0.88","1.03","-1.66","-0.75","-0.69","22.4 %","48.4 %","34.5 %","60.3 %","82.9 %","75.1 %","43.4 %","33.9 %","22.7 %","14130"
"Brad Miller","- - -",".241","70","10.1 %","25.2 %",".318","18.4 %","45.2 %","36.5 %","103","80.2 %","73.8 %","36.5 %","5.2 %","13.6 %","8.4 %","11.6 %","-0.29","-0.22","0.63","0.97","0.86","32.1 %","66.0 %","47.8 %","62.4 %","80.0 %","73.7 %","36.1 %","35.6 %","28.3 %","12775"
"Andres Blanco","Phillies",".255","14","7.2 %","19.4 %",".321","18.9 %","48.8 %","32.3 %","100","83.4 %","76.4 %","36.6 %","2.9 %","9.3 %","7.3 %","14.1 %","0.42","-0.92","-0.29","-0.09","-1.32","34.6 %","68.7 %","51.2 %","63.1 %","83.1 %","76.1 %","36.8 %","36.1 %","27.1 %","1907"
"Nomar Mazara","Rangers",".261","79","7.4 %","21.2 %",".320","19.9 %","49.3 %","30.8 %","92","85.8 %","77.0 %","34.2 %","4.6 %","15.3 %","10.5 %","11.8 %","-0.43","-0.49","-0.71","-0.56","1.16","34.1 %","62.5 %","46.8 %","61.7 %","86.9 %","76.7 %","36.3 %","36.0 %","27.7 %","14553"
"Kevin Cron","Diamondbacks",".211","6","5.1 %","35.9 %",".269","29.5 %","34.1 %","36.4 %","96","73.9 %","61.4 %","33.8 %","4.8 %","23.5 %","13.2 %","10.3 %","2.03","2.70","-2.43","-3.34","-1.04","44.1 %","73.1 %","56.6 %","43.6 %","74.5 %","60.8 %","45.5 %","25.0 %","29.6 %","16211"
"Alex Avila","- - -",".215","41","17.2 %","34.1 %",".352","25.5 %","45.1 %","29.5 %","99","73.6 %","65.7 %","37.1 %","4.7 %","13.7 %","10.0 %","11.2 %","0.82","0.62","-1.37","-0.10","-1.35","17.1 %","55.3 %","36.8 %","37.8 %","73.9 %","65.8 %","40.8 %","36.8 %","22.3 %","7476"
"Rowdy Tellez","Blue Jays",".241","25","6.4 %","28.4 %",".299","24.1 %","38.4 %","37.5 %","100","81.9 %","70.5 %","34.3 %","4.6 %","16.7 %","14.3 %","12.4 %","-0.18","3.81","-0.26","-1.33","-0.70","40.4 %","59.9 %","48.9 %","54.9 %","83.8 %","70.4 %","42.0 %","37.8 %","20.2 %","15679"
"Gregory Polanco","Pirates",".254","71","8.8 %","19.8 %",".321","20.7 %","40.0 %","39.3 %","101","88.9 %","80.0 %","36.8 %","5.0 %","14.7 %","9.2 %","11.2 %","-0.26","0.07","-0.89","0.33","0.94","32.1 %","64.8 %","46.3 %","65.0 %","89.6 %","80.0 %","44.5 %","32.4 %","23.1 %","12907"
"Russell Martin","- - -",".224","72","12.6 %","23.9 %",".336","18.3 %","49.2 %","32.5 %","101","83.6 %","76.2 %","36.2 %","5.8 %","19.0 %","9.0 %","7.9 %","1.24","0.22","-1.12","-1.18","-0.41","19.9 %","57.8 %","39.0 %","49.6 %","85.0 %","76.0 %","40.1 %","36.4 %","23.5 %","4616"
"Oscar Mercado","Indians",".269","15","5.8 %","17.4 %",".318","21.5 %","39.9 %","38.5 %","95","89.8 %","77.7 %","33.4 %","5.9 %","23.0 %","9.6 %","10.0 %","-1.27","-1.38","0.30","1.70","-1.07","29.8 %","74.7 %","50.6 %","53.1 %","89.3 %","77.9 %","40.8 %","35.3 %","23.8 %","16375"
"Adam Duvall","- - -",".234","94","6.9 %","27.4 %",".295","19.2 %","32.2 %","48.6 %","95","84.2 %","74.5 %","35.0 %","6.0 %","18.2 %","8.6 %","9.1 %","-0.18","0.76","-0.25","0.41","-0.37","34.7 %","66.0 %","49.0 %","58.8 %","84.3 %","74.5 %","47.3 %","30.5 %","22.2 %","10950"
"LaMonte Wade","Twins",".196","2","15.9 %","13.0 %",".348","21.3 %","44.7 %","34.0 %","98","92.5 %","83.7 %","42.2 %","6.3 %","12.5 %","5.9 %","11.7 %","0.82","-7.14","-3.18","-3.90","9.44","22.7 %","49.2 %","35.9 %","58.6 %","95.2 %","83.7 %","40.4 %","34.0 %","25.5 %","18126"
"Yonder Alonso","- - -",".253","73","10.4 %","18.3 %",".332","22.1 %","41.4 %","36.5 %","101","88.9 %","79.4 %","33.3 %","4.7 %","14.4 %","10.2 %","13.1 %","0.99","-0.44","-1.62","-0.16","-1.18","28.0 %","69.5 %","47.5 %","56.1 %","89.8 %","79.3 %","41.1 %","35.0 %","23.9 %","2530"
"Michael McKenry","- - -",".203","4","14.3 %","27.3 %",".327","17.2 %","37.9 %","44.8 %","85","84.4 %","72.5 %","38.9 %","5.5 %","16.8 %","6.7 %","7.3 %","1.92","1.47","-3.18","4.58","-1.46","22.6 %","58.2 %","39.7 %","50.0 %","82.5 %","72.9 %","35.2 %","40.9 %","23.9 %","9628"
"Ender Inciarte","- - -",".287","35","7.1 %","12.6 %",".341","23.4 %","48.3 %","28.3 %","96","92.2 %","87.7 %","38.7 %","3.6 %","13.7 %","8.4 %","10.6 %","-0.21","0.68","-0.34","-0.15","0.34","32.9 %","65.4 %","48.9 %","79.1 %","91.9 %","87.5 %","34.6 %","35.3 %","30.2 %","4922"
"Tommy Joseph","Phillies",".247","43","6.3 %","23.2 %",".297","18.7 %","39.8 %","41.5 %","95","85.3 %","76.2 %","35.2 %","5.4 %","17.9 %","7.5 %","10.1 %","0.11","-1.30","-1.26","0.49","-1.11","34.9 %","68.8 %","50.1 %","59.1 %","86.7 %","76.1 %","43.3 %","35.0 %","21.8 %","10349"
"Kevin Newman","Pirates",".293","12","5.1 %","13.5 %",".337","21.9 %","50.2 %","27.9 %","97","94.0 %","86.4 %","33.7 %","5.0 %","22.7 %","9.1 %","8.3 %","0.53","-0.14","1.00","-0.13","1.38","33.1 %","68.0 %","50.0 %","73.3 %","93.2 %","86.4 %","36.0 %","35.8 %","28.2 %","17696"
"Melky Cabrera","- - -",".284","56","6.0 %","11.6 %",".326","23.3 %","46.3 %","30.4 %","100","93.4 %","87.6 %","34.7 %","4.8 %","10.4 %","8.4 %","13.8 %","-0.63","-0.50","0.36","0.69","0.23","34.2 %","62.9 %","47.9 %","78.0 %","93.2 %","87.5 %","38.1 %","35.4 %","26.5 %","4022"
"Hernan Iribarren","Reds",".311","0","0.0 %","24.4 %",".311","26.5 %","67.6 %","5.9 %","95","86.7 %","77.7 %","32.0 %","1.6 %","6.2 %","10.8 %","13.9 %","-2.74","-0.50","6.01","-0.88","0.71","31.7 %","57.0 %","43.8 %","65.6 %","84.9 %","77.7 %","38.2 %","44.1 %","17.7 %","4177"
"Peter Lambert","Rockies",".321","0","8.8 %","29.4 %",".387","33.3 %","60.0 %","6.7 %","81","75.0 %","70.4 %","51.2 %","5.6 %","12.8 %","10.4 %","6.4 %","-0.48","1.32","-3.71","-1.61","2.95","27.0 %","59.7 %","43.2 %","70.6 %","70.3 %","70.4 %","14.3 %","38.1 %","47.6 %","17969"
"Logan Morrison","- - -",".226","86","10.6 %","21.4 %",".316","19.0 %","39.1 %","41.9 %","102","86.2 %","77.4 %","35.3 %","4.9 %","13.7 %","9.9 %","10.4 %","-0.73","0.06","0.33","-0.82","-0.02","29.5 %","68.2 %","47.2 %","59.1 %","86.9 %","77.5 %","45.7 %","33.4 %","20.9 %","9205"
"Kolten Wong","Cardinals",".266","40","8.1 %","15.0 %",".343","20.8 %","46.0 %","33.2 %","100","90.2 %","82.9 %","35.5 %","5.4 %","14.1 %","8.8 %","11.8 %","0.53","-1.49","-0.07","1.06","-0.12","30.3 %","63.7 %","46.7 %","66.2 %","90.9 %","82.7 %","40.2 %","34.9 %","24.9 %","12532"
"Cameron Maybin","- - -",".267","39","9.8 %","20.1 %",".340","20.4 %","53.9 %","25.7 %","100","88.7 %","79.5 %","37.2 %","5.0 %","17.4 %","7.3 %","8.6 %","-0.10","0.70","-0.10","0.21","0.48","23.5 %","60.7 %","41.2 %","58.0 %","88.5 %","79.4 %","36.3 %","36.6 %","27.1 %","5223"
"Marlon Byrd","- - -",".251","28","5.9 %","27.2 %",".297","22.0 %","40.4 %","37.7 %","100","82.4 %","70.9 %","32.9 %","6.4 %","19.3 %","7.6 %","9.6 %","1.47","-3.31","-1.85","1.31","0.92","44.1 %","78.5 %","59.8 %","54.9 %","81.5 %","70.8 %","40.1 %","30.5 %","29.4 %","950"
"Ryan McMahon","Rockies",".243","29","10.3 %","29.9 %",".323","21.3 %","50.7 %","28.0 %","81","78.7 %","70.3 %","41.1 %","6.7 %","14.3 %","8.4 %","11.9 %","-0.51","-0.94","1.39","0.22","-1.01","33.5 %","68.5 %","50.0 %","55.9 %","77.7 %","70.0 %","33.3 %","38.3 %","28.4 %","15112"
"Welington Castillo","- - -",".253","71","6.4 %","26.3 %",".306","21.7 %","41.7 %","36.6 %","96","85.2 %","75.4 %","34.3 %","5.9 %","19.3 %","9.0 %","9.1 %","0.74","0.57","-1.32","-0.62","-2.54","27.8 %","60.1 %","43.5 %","53.3 %","86.5 %","75.6 %","42.9 %","34.8 %","22.4 %","3256"
"Brian McCann","- - -",".237","83","9.9 %","17.7 %",".323","18.8 %","37.3 %","43.9 %","99","89.9 %","83.3 %","33.2 %","4.5 %","14.3 %","9.8 %","11.7 %","-0.51","-0.15","-0.54","-0.04","0.89","28.9 %","58.2 %","42.6 %","70.7 %","90.3 %","83.2 %","48.3 %","31.9 %","19.8 %","4810"
"Ryon Healy","- - -",".261","69","4.7 %","22.2 %",".298","19.0 %","42.5 %","38.5 %","102","88.5 %","76.1 %","31.9 %","5.3 %","20.9 %","10.0 %","8.6 %","1.09","-1.78","-0.75","-0.95","0.76","35.1 %","60.8 %","46.9 %","57.3 %","88.7 %","76.1 %","42.6 %","34.7 %","22.7 %","15447"
"David Murphy","- - -",".283","10","5.1 %","12.5 %",".318","16.7 %","50.8 %","32.5 %","101","92.2 %","86.5 %","38.0 %","5.6 %","9.0 %","6.6 %","12.7 %","0.16","0.11","0.39","-0.63","1.74","35.9 %","56.8 %","46.3 %","76.6 %","92.3 %","86.2 %","38.7 %","39.6 %","21.7 %","6035"
"Charlie Culberson","- - -",".266","18","5.5 %","26.6 %",".312","20.6 %","48.3 %","31.1 %","97","80.9 %","71.6 %","36.3 %","4.1 %","22.5 %","8.4 %","10.2 %","0.40","-1.97","0.23","-0.56","-0.57","38.1 %","71.5 %","53.8 %","52.1 %","83.5 %","71.7 %","39.7 %","34.2 %","26.1 %","3298"
"Renato Nunez","- - -",".245","40","7.2 %","24.2 %",".310","20.1 %","35.4 %","44.5 %","96","84.0 %","73.4 %","31.3 %","7.8 %","21.8 %","8.9 %","10.0 %","-0.23","-2.26","-0.42","1.06","-0.11","35.2 %","67.5 %","49.8 %","58.8 %","82.5 %","73.3 %","45.4 %","29.8 %","24.8 %","14503"
"Ryan McBroom","Royals",".293","0","8.4 %","30.1 %",".361","26.0 %","50.0 %","24.0 %","95","78.7 %","75.9 %","30.4 %","6.1 %","26.9 %","9.1 %","11.4 %","-0.14","-1.80","-1.23","-1.44","0.35","29.2 %","58.0 %","42.4 %","66.7 %","81.3 %","75.9 %","30.0 %","32.0 %","38.0 %","16524"
"Brock Holt","Red Sox",".270","19","9.5 %","19.2 %",".346","23.4 %","52.5 %","24.1 %","95","93.1 %","86.4 %","39.3 %","5.0 %","12.5 %","8.2 %","11.4 %","0.94","-0.09","-0.67","1.14","-0.85","25.1 %","53.1 %","39.3 %","73.0 %","92.6 %","86.4 %","36.2 %","35.9 %","27.9 %","9345"
"Dae-Ho Lee","Mariners",".253","14","6.3 %","23.3 %",".312","22.0 %","52.8 %","25.2 %","103","87.6 %","77.4 %","30.0 %","5.0 %","14.0 %","11.5 %","13.0 %","-1.14","-1.36","0.82","1.30","-0.45","31.3 %","65.1 %","47.5 %","56.8 %","88.1 %","77.4 %","36.2 %","35.8 %","28.0 %","18722"
"Kole Calhoun","Angels",".244","115","9.6 %","22.2 %",".321","22.0 %","41.5 %","36.6 %","101","84.2 %","74.0 %","34.1 %","4.8 %","14.4 %","9.1 %","12.5 %","0.14","-0.31","-0.29","-0.18","-0.88","29.6 %","69.5 %","48.8 %","50.9 %","84.6 %","73.9 %","44.3 %","32.8 %","22.9 %","11200"
"Brendan McKay","Rays",".200","1","9.1 %","18.2 %",".273","12.5 %","62.5 %","25.0 %","101","85.7 %","81.3 %","29.3 %","2.4 %","17.1 %","9.8 %","12.2 %","-0.02","9.93","-5.09","-7.82","-21.75","27.8 %","47.8 %","39.0 %","60.0 %","90.9 %","81.3 %","75.0 %","12.5 %","12.5 %","20186"
"Hyun Soo Kim","- - -",".273","7","9.9 %","16.6 %",".351","22.0 %","50.4 %","27.7 %","96","88.7 %","84.7 %","38.2 %","4.7 %","10.0 %","9.8 %","12.6 %","0.32","-1.55","0.91","0.02","-0.43","22.8 %","59.3 %","40.4 %","76.9 %","87.9 %","84.7 %","35.9 %","34.5 %","29.6 %","18718"
"Kurt Suzuki","- - -",".261","61","5.7 %","12.1 %",".318","21.1 %","37.9 %","40.9 %","95","92.0 %","85.2 %","36.9 %","5.8 %","16.8 %","7.2 %","9.3 %","0.29","-2.59","0.21","0.73","-0.83","31.7 %","68.5 %","50.0 %","70.4 %","92.0 %","85.1 %","47.6 %","32.7 %","19.7 %","8259"
"Ben Paulsen","Rockies",".264","12","6.2 %","26.4 %",".311","20.3 %","46.7 %","33.0 %","84","77.6 %","72.4 %","40.6 %","6.9 %","9.6 %","6.7 %","13.3 %","-0.70","-1.10","2.02","2.33","-0.99","41.0 %","74.8 %","56.7 %","62.9 %","78.5 %","72.4 %","37.1 %","36.4 %","26.5 %","9741"
"Willy Adames","Rays",".263","30","8.5 %","27.3 %",".328","21.1 %","48.6 %","30.4 %","102","83.5 %","75.1 %","33.5 %","7.5 %","22.6 %","7.7 %","9.0 %","0.16","-2.23","-1.54","1.41","-1.06","26.3 %","67.5 %","46.8 %","51.2 %","84.5 %","75.0 %","38.1 %","35.6 %","26.3 %","15986"
"Stephen Vogt","- - -",".253","54","8.1 %","18.6 %",".314","22.1 %","33.4 %","44.5 %","100","89.3 %","82.1 %","32.5 %","5.3 %","15.3 %","9.7 %","12.0 %","0.69","-1.89","-1.92","0.00","1.59","34.4 %","56.9 %","45.0 %","71.0 %","89.6 %","82.1 %","39.6 %","34.2 %","26.2 %","5000"
"Tim Lopes","Mariners",".270","1","11.7 %","22.7 %",".359","19.3 %","48.2 %","32.5 %","101","84.4 %","75.7 %","35.9 %","10.3 %","20.2 %","9.3 %","9.1 %","-0.05","-0.38","-0.73","1.03","-1.40","29.0 %","63.1 %","46.4 %","60.3 %","82.5 %","75.7 %","38.6 %","26.5 %","34.9 %","14137"
"Logan Forsythe","- - -",".250","52","10.6 %","22.0 %",".338","21.3 %","42.9 %","35.8 %","99","87.1 %","81.5 %","40.7 %","5.5 %","15.0 %","7.8 %","8.0 %","0.19","-1.26","0.63","-0.28","-0.31","20.1 %","52.7 %","36.7 %","68.5 %","86.1 %","81.4 %","38.1 %","35.1 %","26.8 %","7185"
"D.J. Stewart","Orioles",".241","7","9.5 %","20.1 %",".323","14.1 %","45.3 %","40.6 %","96","83.4 %","75.4 %","35.9 %","6.9 %","14.3 %","11.7 %","14.0 %","0.90","3.10","-0.91","0.99","-1.31","30.5 %","65.8 %","47.6 %","60.5 %","82.6 %","75.4 %","53.1 %","29.2 %","17.7 %","17766"
"Chris Davis","Orioles",".214","139","11.5 %","34.9 %",".311","22.4 %","36.1 %","41.4 %","97","77.3 %","66.4 %","37.3 %","4.3 %","14.0 %","10.6 %","11.3 %","0.77","2.70","-0.89","-2.24","-0.08","31.6 %","60.1 %","44.0 %","49.0 %","77.9 %","66.3 %","45.3 %","32.7 %","22.0 %","9272"
"Curt Casali","- - -",".237","31","9.4 %","27.1 %",".315","23.0 %","35.1 %","41.8 %","97","83.3 %","73.9 %","33.0 %","6.7 %","18.2 %","10.4 %","9.9 %","-0.09","1.07","-0.91","-0.67","-1.33","22.2 %","68.1 %","44.2 %","48.3 %","82.7 %","73.7 %","46.7 %","30.8 %","22.5 %","12510"
"Willians Astudillo","Twins",".297","7","2.3 %","3.7 %",".322","22.0 %","40.4 %","37.5 %","97","97.2 %","91.9 %","31.7 %","4.7 %","23.0 %","8.8 %","9.3 %","0.71","0.95","1.81","0.70","-3.61","41.3 %","78.5 %","58.1 %","83.8 %","96.5 %","91.6 %","40.4 %","40.4 %","19.1 %","15608"
"Clint Robinson","Nationals",".257","15","9.9 %","15.6 %",".337","21.4 %","43.2 %","35.4 %","97","90.7 %","83.9 %","34.4 %","3.3 %","11.4 %","8.2 %","14.6 %","0.23","-1.67","-0.45","1.95","-2.21","27.4 %","62.9 %","44.2 %","70.0 %","90.8 %","84.0 %","37.2 %","39.3 %","23.5 %","6908"
"Jason Heyward","- - -",".261","60","9.5 %","15.2 %",".334","19.5 %","49.2 %","31.3 %","97","90.6 %","83.6 %","38.1 %","4.9 %","14.5 %","7.3 %","9.9 %","0.53","-0.83","-0.71","-0.69","-0.84","29.2 %","61.4 %","43.7 %","70.9 %","90.8 %","83.4 %","41.9 %","35.2 %","23.0 %","4940"
"Steve Selsky","- - -",".283","2","3.2 %","42.9 %",".306","27.3 %","54.5 %","18.2 %","93","73.6 %","63.2 %","34.3 %","11.6 %","15.9 %","6.8 %","5.6 %","0.50","-3.55","-1.58","-0.72","-3.23","27.0 %","69.1 %","45.4 %","47.4 %","71.1 %","63.2 %","32.4 %","35.3 %","32.4 %","12957"
"Michael Saunders","- - -",".235","30","9.5 %","26.8 %",".313","20.3 %","43.3 %","36.4 %","97","85.7 %","74.8 %","35.8 %","4.9 %","14.8 %","9.0 %","11.2 %","0.29","-1.41","0.03","-0.01","-2.05","27.8 %","67.4 %","45.4 %","50.4 %","87.0 %","74.6 %","42.2 %","34.4 %","23.4 %","9981"
"Matt Duffy","- - -",".283","22","7.0 %","15.9 %",".339","22.6 %","52.7 %","24.7 %","102","92.3 %","84.1 %","36.0 %","6.3 %","17.6 %","7.8 %","8.1 %","0.12","-0.73","-0.67","-0.37","1.08","27.3 %","64.2 %","45.2 %","65.2 %","92.5 %","84.0 %","30.5 %","35.8 %","33.7 %","13836"
"Colin Moran","- - -",".274","25","7.1 %","20.7 %",".328","25.4 %","44.3 %","30.3 %","97","87.5 %","79.1 %","35.5 %","5.6 %","16.2 %","8.5 %","12.1 %","0.32","-0.56","-0.57","0.26","1.46","35.0 %","71.7 %","51.7 %","64.5 %","87.6 %","79.1 %","40.5 %","33.2 %","26.3 %","16909"
"Kennys Vargas","Twins",".243","26","8.5 %","30.1 %",".309","20.2 %","46.6 %","33.2 %","96","83.9 %","71.3 %","35.0 %","4.7 %","11.8 %","8.2 %","14.8 %","-0.92","0.18","-0.99","-0.03","0.43","29.7 %","62.3 %","44.5 %","47.2 %","84.7 %","71.0 %","40.8 %","36.9 %","22.3 %","12101"
"Enrique Hernandez","Dodgers",".240","63","9.6 %","21.1 %",".316","19.6 %","39.5 %","40.9 %","99","85.7 %","76.4 %","32.3 %","7.0 %","21.1 %","8.9 %","10.6 %","0.73","-2.27","-0.85","0.33","0.28","27.8 %","66.0 %","45.7 %","54.3 %","86.7 %","76.2 %","44.6 %","33.1 %","22.3 %","10472"
"Ryan O'Hearn","Royals",".216","26","10.9 %","26.7 %",".304","18.2 %","42.7 %","39.1 %","95","84.1 %","74.3 %","34.1 %","6.0 %","13.5 %","12.9 %","14.0 %","0.11","-0.45","-1.47","-0.34","0.16","28.8 %","63.1 %","44.3 %","56.7 %","83.9 %","74.3 %","41.5 %","33.4 %","25.1 %","16442"
"Franchy Cordero","Padres",".240","10","8.8 %","38.8 %",".306","23.7 %","45.3 %","30.9 %","98","70.7 %","63.1 %","34.1 %","7.8 %","11.6 %","7.4 %","12.2 %","1.79","1.35","-1.96","0.41","-1.86","32.1 %","70.1 %","49.3 %","48.4 %","72.4 %","63.8 %","38.5 %","36.4 %","25.2 %","14567"
"Ian Desmond","- - -",".256","90","7.2 %","25.0 %",".313","18.4 %","55.5 %","26.1 %","86","83.6 %","73.9 %","38.2 %","6.4 %","18.7 %","6.8 %","8.2 %","0.22","-1.03","-0.70","0.96","0.81","31.2 %","65.5 %","47.6 %","53.1 %","84.6 %","73.8 %","33.0 %","37.6 %","29.4 %","6885"
"Elvis Andrus","Rangers",".279","53","6.4 %","13.7 %",".326","21.1 %","48.8 %","30.1 %","89","91.4 %","83.1 %","33.7 %","6.1 %","20.1 %","7.2 %","9.3 %","0.24","0.16","-0.96","0.14","0.36","30.0 %","61.9 %","45.5 %","66.6 %","91.5 %","83.1 %","42.1 %","34.1 %","23.8 %","8709"
